Ticker
A UN Equity
AAL UW Equity
AAP UN Equity
AAPL UW Equity
ABBV UN Equity
ABT UN Equity
ACN UN Equity
ADBE UW Equity
ADI UW Equity
ADM UN Equity
ADP UW Equity
ADSK UW Equity
AEE UN Equity
AES UN Equity
AFL UN Equity
AIG UN Equity
AIZ UN Equity
AJG UN Equity
AKAM UW Equity
ALB UN Equity
ALGN UW Equity
ALL UN Equity
ALLE UN Equity
AMAT UW Equity
AME UN Equity
AMGN UW Equity
AMP UN Equity
AMT UN Equity
AMZN UW Equity
ANSS UW Equity
AON UN Equity
AOS UN Equity
APD UN Equity
APH UN Equity
ARE UN Equity
ATVI UW Equity
AVB UN Equity
AVGO UW Equity
AVY UN Equity
AWK UN Equity
AXP UN Equity
AZO UN Equity
BAC UN Equity
BALL UN Equity
BAX UN Equity
BBWI UN Equity
BBY UN Equity
BDX UN Equity
BEN UN Equity
BIIB UW Equity
BK UN Equity
BKNG UW Equity
BMY UN Equity
BRK/B UN Equity
BSX UN Equity
BWA UN Equity
BXP UN Equity
C UN Equity
CAG UN Equity
CAH UN Equity
CAT UN Equity
CB UN Equity
CBRE UN Equity
CCI UN Equity
CCL UN Equity
CDNS UW Equity
CF UN Equity
CFG UN Equity
CHD UN Equity
CHRW UW Equity
CHTR UW Equity
CI UN Equity
CINF UW Equity
CL UN Equity
CLX UN Equity
CMA UN Equity
CMCSA UW Equity
CME UW Equity
CMG UN Equity
CMI UN Equity
CMS UN Equity
CNC UN Equity
CNP UN Equity
COF UN Equity
COR UN Equity
COST UW Equity
CPB UN Equity
CRM UN Equity
CSCO UW Equity
CSX UW Equity
CTAS UW Equity
CTSH UW Equity
CTXS UW Equity
CVS UN Equity
D UN Equity
DAL UN Equity
DD UN Equity
DE UN Equity
DFS UN Equity
DG UN Equity
DGX UN Equity
DHI UN Equity
DHR UN Equity
DIS UN Equity
DLR UN Equity
DLTR UW Equity
DOC UN Equity
DOV UN Equity
DRI UN Equity
DTE UN Equity
DUK UN Equity
DVA UN Equity
EA UW Equity
EBAY UW Equity
ECL UN Equity
ED UN Equity
EFX UN Equity
EG UN Equity
EIX UN Equity
EL UN Equity
ELV UN Equity
EMN UN Equity
EMR UN Equity
EQIX UW Equity
EQR UN Equity
ES UN Equity
ESS UN Equity
ETN UN Equity
ETR UN Equity
EW UN Equity
EXPD UW Equity
EXPE UW Equity
EXR UN Equity
F UN Equity
FAST UW Equity
FDX UN Equity
FE UN Equity
FFIV UW Equity
FIS UN Equity
FISV UW Equity
FITB UW Equity
FMC UN Equity
FRT UN Equity
FTV UN Equity
GE UN Equity
GEN UW Equity
GILD UW Equity
GIS UN Equity
GL UN Equity
GLW UN Equity
GM UN Equity
GOOG UW Equity
GOOGL UW Equity
GPC UN Equity
GPN UN Equity
GS UN Equity
GWW UN Equity
HAS UW Equity
HBAN UW Equity
HCA UN Equity
HD UN Equity
HIG UN Equity
HLT UN Equity
HOLX UW Equity
HPE UN Equity
HPQ UN Equity
HRL UN Equity
HSIC UW Equity
HSY UN Equity
HUM UN Equity
HWM UN Equity
IBM UN Equity
ICE UN Equity
IDXX UW Equity
IFF UN Equity
ILMN UW Equity
INCY UW Equity
INTC UW Equity
INTU UW Equity
IP UN Equity
IPG UN Equity
IQV UN Equity
IRM UN Equity
ISRG UW Equity
IT UN Equity
ITW UN Equity
IVZ UN Equity
JBHT UW Equity
JCI UN Equity
JNJ UN Equity
JNPR UN Equity
JPM UN Equity
K UN Equity
KEY UN Equity
KHC UW Equity
KIM UN Equity
KLAC UW Equity
KMB UN Equity
KMX UN Equity
KO UN Equity
KR UN Equity
L UN Equity
LEN UN Equity
LKQ UW Equity
LLY UN Equity
LNC UN Equity
LOW UN Equity
LRCX UW Equity
LUMN UN Equity
LUV UN Equity
LYB UN Equity
MA UN Equity
MAA UN Equity
MAR UW Equity
MAS UN Equity
MCD UN Equity
MCHP UW Equity
MCK UN Equity
MCO UN Equity
MDLZ UW Equity
MDT UN Equity
MET UN Equity
META UW Equity
MHK UN Equity
MKC UN Equity
MLM UN Equity
MMM UN Equity
MNST UW Equity
MOS UN Equity
MRK UN Equity
MRSH UN Equity
MS UN Equity
MSCI UN Equity
MSFT UW Equity
MSI UN Equity
MTB UN Equity
MTD UN Equity
MU UW Equity
NCLH UN Equity
NDAQ UW Equity
NEE UN Equity
NEM UN Equity
NFLX UW Equity
NI UN Equity
NKE UN Equity
NRG UN Equity
NSC UN Equity
NTAP UW Equity
NTRS UW Equity
NUE UN Equity
NVDA UW Equity
NWS UW Equity
NWSA UW Equity
O UN Equity
OMC UN Equity
ORCL UN Equity
ORLY UW Equity
PAYX UW Equity
PCAR UW Equity
PEG UN Equity
PEP UW Equity
PFE UN Equity
PFG UW Equity
PG UN Equity
PGR UN Equity
PH UN Equity
PHM UN Equity
PKG UN Equity
PLD UN Equity
PNC UN Equity
PNR UN Equity
PNW UN Equity
PPG UN Equity
PPL UN Equity
PRU UN Equity
PSA UN Equity
PWR UN Equity
PXD UN Equity
PYPL UW Equity
QCOM UW Equity
QRVO UW Equity
RCL UN Equity
REGN UW Equity
RF UN Equity
RHI UN Equity
RJF UN Equity
RL UN Equity
RMD UN Equity
ROK UN Equity
ROP UN Equity
ROST UW Equity
RSG UN Equity
RVTY UN Equity
SBAC UW Equity
SBUX UW Equity
SCHW UN Equity
SEE UN Equity
SHW UN Equity
SJM UN Equity
SNA UN Equity
SNPS UW Equity
SO UN Equity
SPG UN Equity
SPGI UN Equity
SRE UN Equity
STT UN Equity
STX UW Equity
SWK UN Equity
SWKS UW Equity
SYF UN Equity
SYK UN Equity
SYY UN Equity
T UN Equity
TDG UN Equity
TFC UN Equity
TGT UN Equity
TJX UN Equity
TMO UN Equity
TPR UN Equity
TROW UW Equity
TRV UN Equity
TSCO UW Equity
TSN UN Equity
TT UN Equity
TTWO UW Equity
TXN UW Equity
TXT UN Equity
UDR UN Equity
UHS UN Equity
ULTA UW Equity
UNH UN Equity
UNP UN Equity
UPS UN Equity
URI UN Equity
USB UN Equity
V UN Equity
VFC UN Equity
VMC UN Equity
VNO UN Equity
VRSK UW Equity
VRSN UW Equity
VRTX UW Equity
VTR UN Equity
VZ UN Equity
WAT UN Equity
WBA UW Equity
WDC UW Equity
WEC UN Equity
WELL UN Equity
WFC UN Equity
WHR UN Equity
WM UN Equity
WMT UN Equity
WRK UN Equity
WTW UW Equity
WY UN Equity
XEL UW Equity
XRAY UW Equity
XYL UN Equity
YUM UN Equity
ZBH UN Equity
ZION UW Equity
ZTS UN Equity
